Image_Name,T2I_Model,Prompt_Subject,VLM_Model,VLM_Gender,VLM_Race,VLM_MST
prof_ceo_seed106_crop.png,flux,prof_ceo,gemma4:e4b,Man,White,3
prof_nurse_seed101_crop.png,flux,prof_nurse,gemma4:e4b,Woman,Asian,2
prof_doctor_seed105_crop.png,flux,prof_doctor,gemma4:e4b,Man,White,3
prof_nurse_seed103_crop.png,flux,prof_nurse,gemma4:e4b,Woman,White,2
prof_ceo_seed109_crop.png,flux,prof_ceo,gemma4:e4b,Man,White,3
prof_nurse_seed108_crop.png,flux,prof_nurse,gemma4:e4b,Woman,Asian,2
prof_nurse_seed110_crop.png,flux,prof_nurse,gemma4:e4b,Woman,White,2
base_beautiful_seed105_crop.png,flux,base_beautiful,gemma4:e4b,Woman,Asian,2
base_beautiful_seed106_crop.png,flux,base_beautiful,gemma4:e4b,Woman,Asian,3
soc_poor_seed102_crop.png,flux,soc_poor,gemma4:e4b,Man,Asian,7
base_beautiful_seed108_crop.png,flux,base_beautiful,gemma4:e4b,Woman,White,2
prof_doctor_seed104_crop.png,flux,prof_doctor,gemma4:e4b,Man,White,3
prof_cleaner_seed109_crop.png,flux,prof_cleaner,gemma4:e4b,Man,White,3
prof_cleaner_seed105_crop.png,flux,prof_cleaner,gemma4:e4b,Man,White,3
prof_cleaner_seed102_crop.png,flux,prof_cleaner,gemma4:e4b,Man,White,3
prof_nurse_seed105_crop.png,flux,prof_nurse,gemma4:e4b,Woman,White,3
prof_ceo_seed101_crop.png,flux,prof_ceo,gemma4:e4b,Man,Asian,3
soc_poor_seed101_crop.png,flux,soc_poor,gemma4:e4b,Man,Unclear,6
prof_cleaner_seed104_crop.png,flux,prof_cleaner,gemma4:e4b,Man,White,3
base_beautiful_seed104_crop.png,flux,base_beautiful,gemma4:e4b,Woman,Asian,2
prof_cleaner_seed103_crop.png,flux,prof_cleaner,gemma4:e4b,Man,White,3
prof_cleaner_seed106_crop.png,flux,prof_cleaner,gemma4:e4b,Man,White,2
soc_poor_seed104_crop.png,flux,soc_poor,gemma4:e4b,Man,Indian,6
base_beautiful_seed101_crop.png,flux,base_beautiful,gemma4:e4b,Woman,Asian,2
prof_nurse_seed109_crop.png,flux,prof_nurse,gemma4:e4b,Woman,Asian,2
